Equipo	Denominación	NºIdentif.técn.	Fabricante	Denomin.tipo	Fe.puesta serv.	   Número de serie según el fabricante	  Tamaño/Dimensión
5000232974	26004 J17 - pos. 5,RESERVA EQUIPADA POS		CONSONNI	CCM			
5000232975	26004 J17 - pos. 6, BOMBA DESCARGA META		CONSONNI	CCM			
5000232976	26004 J17 - pos. 7, BOMBA DE CARGA SOLP		CONSONNI	CCM			
5000232977	26004 J17 - pos. 8, Aliment MAT SOLAR		CONSONNI	CCM			
5000232978	26004 J17 - pos. 9, CUADRO CC 120V / R		CONSONNI	CCM			
5000232979	26004 J17 - Pos 18.1 Cuadro CC		CONSONNI	CCM			
5000232980	26004 J17 - POS 19.1 SISTEMA VIGILANCIA		CONSONNI	CCM			
5000232981	26004 J17 - pos. 20 BATERÍA CONDESADORE		CONSONNI	CCM			
5000232982	26004 J17 - pos. 21, ALUMBRADO EXTERIOR		CONSONNI	CCM			
5000232983	26004 J17 - pos. 22, ALUMBRADO INTERIO		CONSONNI	CCM			
5000232984	26004 J17 - pos. 23.1 Traceado pulmón		CONSONNI	CCM			
5000232985	26004 J17 - pos. 24.1 TOMAS SOLDADURA		CONSONNI	CCM			
5000232986	26004 J17 - POS 25.1 Protec. sobretn CCM		CONSONNI	CCM			
5000232987	26004 J17 -Pos 26 Salidas aliment fuerza		CONSONNI	CCM			
5000232988	26004 J17 - POSICIÓN 27, CUBÍCULO VACÍO		CONSONNI	CCM			
5000232989	26004 J17 - POSICIÓN 28 RESERVA EQUIPADA		CONSONNI	CCM			
5000232990	26004 J17 - POSICIÓN 29 RESERVA EQUIPADA		CONSONNI	CCM			
5000232991	26004 J17 - POSICIÓN 30 RESERVA EQUIPADA		CONSONNI	CCM			
5000232992	26004 J17 - POSICIÓN 31 RESERVA EQUIPADA		CONSONNI	CCM			
5000232993	26004 J17 - POSICIÓN 32 RESERVA EQUIPADA		CONSONNI	CCM			
5000232994	26004 J17 - POSICIÓN 33 RESERVA EQUIPADA		CONSONNI	CCM			
5000232995	26004 J17 - POSICIÓN 34 RESERVA EQUIPADA		CONSONNI	CCM			
5000232998	36001 J17 - Alternador electrico 17GE1	17GE1	HIMOINSA	HFW-200_T5_STD_50HZ-400/230V_AS22			
5000233011	21001 Trampa de Rascadores D-1401	D-1401	TRAMPARASCADORES	6-8-10-16PULG			100 KG/CM2
5000233169	02010Valvula gasoducto ESV-322	ESV-322	CAMERON	E92129-90-00-02			
5000233189	11001 Bomba Descarga Metanol P-1203	P-1203	HIDROTECAR	CSO-50-160P-1103			30 M3/H
5000233197	01004 Contador Desc. Metanol FQI-323	FQI-323	FLUIDWELL	F110			2" 150# 25 CM
5000233207	01004 Contador  caudal iny metanol S3	3FIC22	ENDRESS HAUSER	PROMASS 40			
5000233213	11003 Bomba alternativa 3P1202A	3P1202A	LEWA	LDE1-25-2010			
5000233224	11003 Bomba alternativa 3P1202B	3P1202B	LEWA	LDE2-25-2010			
5000233364	03004 Ind. Nivel Depósito LG-3C701A	LG-3C701A	KÜBLER	BNA			
5000233584	03004 Ind. Nivel Depósito LG-3C701B	LG-3C701B	KÜBLER	BNA			
5000233704	26004 S3 - Pos 1.0 Protecc sobretens.CCC		SCHNEIDER	CCM			
5000233705	26004 S3 - Pos 1.1 Protecc sobretens.CCM		SCHNEIDER	CCM			
5000233706	26004 S3 - Possición 1.2 Reserva		SCHNEIDER	CCM			
5000233707	26004 S3 - Posición 1.3 Reserva		SCHNEIDER	CCM			
5000233708	26004 S3 - Pos1.4 material aux.acometida		SCHNEIDER	CCM			
5000233709	26004 S3 - Pos. 1.5 acometida A trafo		SCHNEIDER	CCM			
5000233710	26004 S3 - Posición 1.6  trafos mando		SCHNEIDER	CCM			
5000233711	26004 S3 - Pos. 2.1.1  reserva equipada		SCHNEIDER	CCM			
5000233712	26004 S3 - Pos 2.2.1  alimentación CCC		SCHNEIDER	CCM			
5000233713	26004 S3 - Pos. 2.3  General traceados		SCHNEIDER	CCM			
5000233714	26004 S3 - Pos 2.5 Toma soldadura		SCHNEIDER	CCM			
5000233715	26004 S3 - Posición 2.8		SCHNEIDER	CCM			
5000233716	26004 S3 - Pos 2.9 aliment cuadro b.leva	ZP1202	SCHNEIDER	CCM			
5000233717	26004 S3 - Posición 3.1  Reservas		SCHNEIDER	CCM			
5000233718	26004 S3 - Pos 3.3.1 servicio vigilancia		SCHNEIDER	CCM			
5000233719	26004 S3 - Pos3.4.1 Aliment panel comprA		SCHNEIDER	CCM			
5000233720	26004 S3 - Pos. 3.5 alumb caseta		SCHNEIDER	CCM			
5000233721	26004 S3 - Pos 4.4 reserva motor 4kW		SCHNEIDER	CCM			
5000233722	26004 S3 -Pos 4.5 b.descar.cisterna MEOH	MCP1203	SCHNEIDER	CCM			
5000233723	26004 S3 - Pos 4.6 batería condesadores		SCHNEIDER	CCM			
5000233727	36001 S3 - Alternador electrico 17GE1	17GE1	HIMOINSA	HFW-125_T5_STD_50HZ-400/230V_AS22			
5000233894	02010 Val. Gasoducto ESV-522	ESV-522	CAMERON	E92129-90-00-02		276665	6" 900# 61,5 CM
5000233916	11001 Bomba Descarga Metanol P-1303	P-1303	HIDROTECAR	CSO-50-160P-1103			30 M3/H
5000233924	01004 Contador Desc. Metanol FQI-523	FQI-523	FLUIDWELL	F110		29162	2" 150# 25 CM
5000233934	01007 Caudalímetro Iny. Metanol FT-522	FT-522	ENDRESS HAUSER	PROMASS 40		6405FF02000	1/2" 150# 23 CM
5000233940	11003 Bomba Metanol A P-1302A	P-1302A	LEWA	LDE1-25-2010		529921-010.002	165,27 L/H 160 BAR
5000233951	11003 Bomba Metanol B P-1302B	P-1302B	LEWA	LDE2-25-2010		529921-020.001	345,66 L/H 160 BAR
5000234091	03004 Ind. Nivel Depósito LG-5C701	LG-5C701	KÜBLER	BNA			
5000234213	26004 S5 - Pos 1.0 Protecci sobretens CC		SCHNEIDER	CCM			
5000234214	26004 S5 - Pos 1.1 Protecc sobretens CCM		SCHNEIDER	CCM			
5000234215	26004 S5 - Pos 2.4.1 Aliment remota ABB		SCHNEIDER	CCM			
5000234216	26004 S5 - Pos 2.5 Aliment traceados		SCHNEIDER	CCM			
5000234217	26004 S5 - Pos 2.6.3 Traceado B.inyec S1		SCHNEIDER	CCM			
5000234218	26004 S5 - Pos 2.7.1 Aliment TS comp.		SCHNEIDER	CCM			
5000234219	26004 S5 - Pos 2.8.1 TS bombas Metanol		SCHNEIDER	CCM			
5000234220	26004 S5 - Pos 2.9  Aliment panel B.LEWA	ZP1502	SCHNEIDER	CCM			
5000234221	26004 S5 - Pos 3.2 Aliment caldeo GEN.		SCHNEIDER	CCM			
5000234222	26004 S5 - Pos 3.6.1 Alumb caseta ctrol		SCHNEIDER	CCM			
5000234223	26004 S5 - Pos 3.8.1 Alumb ext cabeza PZ		SCHNEIDER	CCM			
5000234224	26004 S5 - Pos 4.5 motor reserva 15kW		SCHNEIDER	CCM			
5000234225	26004 S5 - Pos 4.6 motor reserva 30kW		SCHNEIDER	CCM			
5000234226	26004 S5 -Pos 4.7 b. inyección S1 P1501A		SCHNEIDER	CCM			
5000234227	26004 S5 - Pos 4.8 b.inyección S1 P1501B		SCHNEIDER	CCM			
5000234228	26004 S5 - Pos 4.9 b.desc. cisterna MEOH		SCHNEIDER	CCM			
5000234229	26004 S5 -Pos 4.10 batería condensadores		SCHNEIDER	CCM			
5000234233	36001 S5 - Alternador electrico 5GE1	5GE1	HIMOINSA	HFW-125_T5_STD_50HZ-400/230V_AS22			
5000234246	21001 Trampa de Rascadores D-312-C	D-312-C	TRAMPARASCADORES	6-8-10-16PULG		P649	14" 102 BAR 70 ºC
5000234407	02010 Val. Gasoducto ESV-622	ESV-622	TK VALVE LTD	6D-002.1/20THED			
5000234430	11001 Bomba Descarga Metanol P-1603	P-1603	HIDROTECAR	CSO-50-160P-1103			
5000234438	01004 Contador Desc. Metanol FQI-623	FQI-623	FLUIDWELL	F110			
5000234448	01007 Caudalímetro Iny. Metanol FT-622	FT-622	ENDRESS HAUSER	PROMASS 40			
5000234454	11003 Bomba Metanol A P-1602A	P-1602A	LEWA	LDE1-25-2010			
5000234465	11003 Bomba Metanol B P-1602B	P-1602B	LEWA	LDE2-25-2010			
5000234601	03004 Ind. Nivel Depósito LG-6C701	LG-6C701	KÜBLER	BNA			
5000234718	26004 S6 - Pos 1,2,3 Acometid.y acoplam.		CONSONNI	CCM			
5000234719	26004 S6 - Pos 1,2,3 Acometid.y acoplam.		CONSONNI	CCM			
5000234720	26004 S6 - Pos 4  Reserva Vacía		CONSONNI	CCM			
5000234721	26004 S6 - Pos 5 Reserva Vacía		CONSONNI	CCM			
5000234722	26004 S6 - Pos 6 Reserva vacía		CONSONNI	CCM			
5000234723	26004 S6 - Pos 7 B. carga metanol P1603		CONSONNI	CCM			
5000234724	26004 S6 - Pos 8  Aliment cuadro b.lewa		CONSONNI	CCM			
5000234725	26004 S6 - Pos 9  Reserva semiequipada		CONSONNI	CCM			
5000234726	26004 S6 - Pos 10 Reserva equipada		CONSONNI	CCM			
5000234727	26004 S6 - Pos 11  RESERVA EQUIPADA		CONSONNI	CCM			
5000234728	26004 S6 - Pos 12 Protecciones CCM y CCC		CONSONNI	CCM			
5000234729	26004 S6 - Pos 13 CUADRO C. C.		CONSONNI	CCM			
5000234730	26004 S6 - Pos 14 Reserva		CONSONNI	CCM			
5000234731	26004 S6 - Pos 15  Bateria condensad.		CONSONNI	CCM			
5000234732	26004 S6 - Pos 16.1  Reserva equipada		CONSONNI	CCM			
5000234733	26004 S6 - Pos 16.2  Reserva equipada		CONSONNI	CCM			
5000234734	26004 S6 - Pos 17 Alumbrado exterior		CONSONNI	CCM			
5000234735	26004 S6 - Pos 18 Aliment resist. cald.		CONSONNI	CCM			
5000234736	26004 S6 - Pos 19 Toma soldadura		CONSONNI	CCM			
5000234737	26004 S6 - Pos 20 Alumbrado interior		CONSONNI	CCM			
5000234738	26004 S6 - Pos 21Traceados eléctricos		CONSONNI	CCM			
5000234739	26004 S6 - Pos 22 Alimententación DCI		CONSONNI	CCM			
5000234740	26004 S6 - Alimentación Calefacción CCM		CONSONNI	CCM			
5000234744	36001 S6 - Alternador electrico 6GE1	6GE1	HIMOINSA	HFW-125_T5_STD_50HZ-400/230V_AS22			
5000234845	11005 Bomba Inyección Agua P-1501B	P-1501B	MILTON-ROY	PR146AA57.2UT150-1.LS.VV3		200806030111	1,5 M3/H 147,1 BAR
5000234846	11005 Bomba Inyección Agua P-1501A	P-1501A	PERONI-POMPE	TITANO-31.10-(40X45)		2026/92/1	1,5 M3/H 147,1 BAR
5000234866	21001 Trampa Rascadores D-1301	D-1301	TRAMPARASCADORES	6-8-10-16PULG			100 BAR -20/70 ºC
5000234893	37018 Consola Hidráulica Baker S-11		BAKER	PORTATIL			
5000234967	11003 Bomba Metanol P-1103A J-18	P-1103A	LEWA	LDE1-2004		456814-010.002	233,15 L/H 274 BAR
5000234978	11003 Bomba Metanol P-1103B J-18	P-1103B	LEWA	LDE1-2004		456814-010.002	233,15 L/H 274 BAR
5000293303	18003 Analizador P. Rocío Aurora PR-51	PR-51	GE INFRASTRUCTURES	AURORA	20120101	MISP2-2W-T3	100-240 VAC 10 W
5000310846	37018 Consola Hidráulica Baker J-10		BAKER	PORTATIL			
5000312232	09002 Aero. B 1ª Etapa AE-1701-B	AE-1701-B	GEA IBÉRICA	9144/1845/6V-EEDP2-254R57Y32/66.67		261/726	119 KG/CM2
5000312562	56005 Hidrante THT 7		AQL-PROTECCION	TIFON-TIPO-C			
5000312574	56005 Hidrante URM 14		AQL-PROTECCION	TIFON-TIPO-C			
5000312588	56005 Hidrante Balsa SLOPS 4		AQL-PROTECCION	TIFON-TIPO-C			
5000312590	56005 Hidrante Mat. Primas 8		AQL-PROTECCION	TIFON-TIPO-C			
5000312592	56005 Hidrante Cobertizo Residuos 10		AQL-PROTECCION	TIFON-TIPO-C			
5000312630	11001 Bomba Arqueta SLOPS P-351	P-351	KSB-ITUR	WKB-INVCP-40-125C		5891700	20 M3/H
5000315586	15002 Filtro TEG pobre F-307	F-307	SERENISSIMA-MONTAGGI	F-307	20201001		"DN 12"" X 1000"
5000315632	14001 Reboiler TEG V-001	V-001	ISG S.P.A.	Z-307	20201001		1850 X 6500
5000315657	11005 Bomba recirculacion TEG P-307-3A	P-307-3A	SABI POMPE	STP1 50X46	20201001	19045/1	
5000315672	11005 Bomba recirculacion TEG P-307-3B	P-307-3B	SABI POMPE	STP1 50X46	20201001	19045/2	
5000316365	12003 Compresor Aire ZC-307A	11KW	ATLAS-COPCO	GA11P	20201124	ITJ379614	8,5 BAR / 46 ºC
5000316366	12003 Compresor Aire ZC-307B	11KW	ATLAS-COPCO	GA11P	20201124	ITJ379620	8,5 BAR / 46 ºC
5000327129	26011 Cuadro CC 48V Subestación CCC-02	CCC-02	AEG	TPRE-100A-38-KPH-35	20211201	TPRE2295	380AC/48DC 100A
5000327130	26011 Cuadro CC 24V S. Control CCC-01	CCC-01	AEG	TPRE-2X200A-20KPH-155P	20211201	TPRE2289	380AC/24DC 200A
5000327132	26011 S3 - Cuadro CC 24V S-3 CCC3-01	CCC3-01	AEG	TPRE-100A-19-KPH-100	20211201	TPRE2293	380AC/24DC 100A
5000327133	26011 S5 - Cuadro CC 24V S-5 CCC5-01	CCC5-01	AEG	TPRE-100A-19-KPH-100	20211201	TPRE2290	380AC/24DC 100A
5000327134	26011 S6 - Cuadro CC 24V S-6 CCC6-01	CCC6-01	AEG	TPRE-100A-19-KPH-155	20211201	TPRE2294	380AC/24DC 100A
5000327135	26011 J2 - Cuadro CC 24V J-2 CCC2-01	CCC2-01	AEG	TPRE-100A-19-KPH-100	20211201	TPRE2292	380AC/24DC 100A
5000327136	26011 J17 - Cuadro CC 24V J-17 CCC17-01	CCC17-01	AEG	TPRE-100A-20-KPH-100	20211201	TPRE2291	380AC/24DC 100A
5000196621	"Depósito de refrigerante ""A"""	FA12A	VIZCAINO	FA12A	20130101		
5000196728	Separador de aceite FA13A	FA13A	VIZCAINO	FA13A	20130101	54901	
5000196729	Bomba aceite refrigeración GB2A	GA8A	VIKING	AL-4195	20130101	532723	
5000196730	Bomba aceite refrigeración GB2A	GA8D	VIKING	AL-4195	20130101	532720	
5000196731	Compresor refrigeración A	GB2A	HOWDEN	WCVH-255-1,1036	20130101	MK4/WCVH255/11036/809	11045KG_1000 RPM_9
5000196732	Motor de gas del compresor	GF2A	WAUKESHA	VHP5108-GPU	20130101		
5000196775	Separador de aceite FA13C	FA13C	VIZCAINO	FA13	20130101	54906	
5000196776	Bomba acete refrigeración GB2F	GA8F	VIKING	AL-4195	20130101	900546634	
5000196777	Bomba aceite refrigeración GB2C	GA8C	VIKING	AL-4195	20130101	900532724	
5000196778	Compresor refrigeración C	GB2C	HOWDEN	WCVH-255-1,1036	20130101	MK4/WCVH255/11036/808	11045KG_1000 RPM_9
5000196887	Separador aceite FA13B	FA13B	VIZCAINO	FA13B	20130101	54905	
5000196906	"Depósito de refrigerante ""B"""	FA12B	VIZCAINO	FA12B	20130101	54903	
5000197014	Bomba aceite refrigeración GB2B	GA8B	VIKING	AL-4195	20130101		
5000197015	Bomba aceite refrigeración GB2B	GA8E	VIKING	AL-4195	20130101		
5000197016	Comporesor refrigeración B	GB2B	HOWDEN	WCVH-255-1,1036	20130101	MK4/WCVH255/11036/804	11045KG_1000 RPM_9
5000197017	Motor gas compresor	GF2B	WAUKESHA	VHP5108-GPU	20130101	387686	
5000197028	Panel compresores refrigeración	LCP06	CAE	LCP06	20130101		
5000197069	caldera de aceite termico BA30A	BA30A	SOGECAL	OR-5-1	20130101	S150	
5000197115	caldera de aceite termico BA30B	BA30B	SOGECAL	OR-5-1	20130101	S150	
5000197162	caldera de aceite termico BA30C	BA30C	SOGECAL	OR-5-1	20130101	S150	
5000197632	Bombas odorante	GA2AB	LEWA	LOB1	20130101		
5000197772	"Bomba recirculación y bombeo ""A"""	GA103A	ERCOLE-MARELLI	GRZ222-WW-G11V-G2	20130101		
5000197773	"Bomba recirculación y bombeo ""B"""	GA103B	ERCOLE-MARELLI	GRZ222-WW-G11V-G2	20130101		
5000198164	columna de secado FA37A	FA37A	AIRSEC	HD-076357-84	20130101	HD-07 6357/84	
5000198219	Grupo compres aire A  BOGE  SO126 AF	GB30A	BOGE	I-SO126-AF	20180101	5114344	3336KG_110KW_110PA
5000198271	Grupo compres aire B  BOGE  SO126 AF	GB30B	BOGE	I-SO126-AF	20150101	5082898	3336KG_110KW_110PA
5000198297	Bomba GA53A (ALM)	GA53A	MIBSA	SERIE-80-20--TIPO-RBS	20130101	139835	
5000198298	Bomba GA53B (ALM)	GA53B	MIBSA	SERIE-80-20--TIPO-RBS	20130101	139834	
5000198420	Bomba inyeccion metanol A	GA41A	MOLROYAL	PMRB-1-7E25-125-SM-86N-7M	20130101	844251030102	
5000198421	Bomba inyeccion metanol B (INY)(METANOL)	GA41B	MOLROYAL	PMRB-1-7E25-125-SM-86N-7M	20130101	844251030101	
5000198479	Pig-reciver (TRG) PX1)	PX1	SIIRTEC	PX1	20130101	4210	
5000198805	Paquete de antorcha	CB50	GKN	SONAJET-GSRW	20130101	84217	
5000199055	Bomba de dosificacion	GA64A	MILTON-ROY	60650089	20130101	60650089	
5000199058	Tanque oxidacion Administracion Oficinas	PB57A	OXYCOMPACT	OCH-D-8-25	20130101		
5000199059	Motor bomba dosif. hipoclorito vestuario	GAM64B	0	OCH-D-8-25	20130101	522697	
5000199066	Tanque oxidacion Talleres Vestuarios	PB57B	OXYCOMPACT	OCH-D-8-25	20130101		
5000199067	Motor bomba dosif. hipoclorito S.Control	GAM65	MILTON-ROY	60650089	20130101		
5000199074	Tanque oxidacion de Sala Control	PB58	OXYCOMPACT	OCH-D-8-25	20130101		
5000199145	Solar F Contactos puerta cabina	SOLARF 123CP	STAHL	8060-1	20130101	8060/1	
5000199146	Solar F Detector de llama IR	SOLARF 01IR	DET-TRONICS	CTO1422	20130101	CTO1422	
5000199147	Solar F Detector de llama IR	SOLARF 02IR	DET-TRONICS	CTO1423	20130101	CTO1423	
5000199148	Solar F Detector de llama IR	SOLARF 03IR	DET-TRONICS	CTO1421	20130101	CTO1421	
5000199149	Solar F Detector de llama IR	SOLARF 04IR	DET-TRONICS	CTO1424	20130101	CTO1424	
5000199150	Solar F Detector termico	SOLARF 01TH	OAS	770	20130101	770	
5000199151	Solar F Detector termico	SOLARF 02TH	OAS	749	20130101	749	
5000199152	Solar F Detector termico	SOLARF 03TH	OAS	741	20130101	741	
5000199153	Solar F Detector termico	SOLARF 04TH	OAS	744	20130101	744	
5000199154	Solar F Detector gas combustible	SOLARF 01DG	DET-TRONICS	STB1A2MW	20130101	226365-119	
5000199155	Solar F Detector gas combustible	SOLARF 02DG	DET-TRONICS	STB1A2MW	20130101	226365-119	
5000199156	Solar F Detector gas combustible	SOLARF 03DG	DET-TRONICS	STB1A2MW	20130101	226365-119	
5000199157	Solar F Detector gas combustible	SOLARF 04DG	DET-TRONICS	STB1A2MW	20130101	226365-119	
5000199158	Solar F Señal luminosa roja fuego	SOLARF 01SL	MEDC	901870103	20130101	901870103	
5000199159	Solar F Señal acustica	SOLARF 01SI	MEDC	429140205	20130101	429140205	
5000199160	Solar F Señal luminosa ambar gas	SOLARF 02SL	SIRENA	13062	20130101	13062	
5000199162	Solar F Electrovalvula disp. CO2	SOLARF 01EV	ERA-SIB	WPO-8PC1CCA620A24VDC	20130101		
5000199164	Solar F Presostato descarga CO2	SOLARF PSHCO2E	TELEMECANIQUE	66794	20130101	66794	
5000199165	Solar F Valv. 3 vias colector CO2	SOLARF V3VIAS	ROTECH	38816001	20130101	38816001	
5000199166	Solar E Electrov. Grampa entrada aire	SOLARE XY3352	JOUCOMATIC	2979136-2	20130101	2979136 2	
5000199168	Presion diferencial filtros aceite	PDI902E	SOLAR	1012837-3	20130101	1012837-3	
5000199209	Trasmisor de fuel-gas	PT2113	SOLAR	1029610-17	20130101	855769	-14.7 - 800PSI
5000199256	Actuador bleed-valve	L338	SOLAR	1016391-3	20130101	222551001	
5000199267	Switch Flame out protection	74S2_PTG_S349 2	SOLAR	190497-6	20130101	160P44CC6BN	>0.41BAR
5000199270	Solar E Electrov. Grampa entrada aire	SOLARE XY3362	JOUCOMATIC	380429-02	20130101	380429/02'	
5000199271	Solar E Señal acustica	SOLARE SIRENA	DNH	DPS-155EEXEN	20130101	DPS-155EEXEN	
5000199272	Solar E Señal luminosa roja fuego	SOLARE LFUEGO	STAHL	7016	20130101	7016	
5000199273	Solar E Señal luminosa ambar gas	SOLARE LGAS	STAHL	7028	20130101	7028	
5000199274	Solar E Señal luminosa ambar CO2 disp	SOLARE LCO2	STAHL	7039	20130101	7039	
5000199275	Solar E Detector de llama IR	SOLARE IR1	SHARPEYE	3312	20130101	3312	
5000199276	Solar E Detector de llama IR	SOLARE IR2	SHARPEYE	3244	20130101	3244	
5000199277	Solar E Detector de llama IR	SOLARE IR3	SHARPEYE	3239	20130101	3239	
5000199278	Solar E Detector de llama IR	SOLARE IR4	SHARPEYE	3245	20130101	3245	
5000199279	Solar E Detector gas combustible	SOLARE GAS2	SENSITRON	M972	20130101	M972	
5000199280	Solar E Detector gas combustible	SOLARE GAS1	SENSITRON	M136	20130101	M136	
5000199281	Solar E Detector gas combustible	SOLARE GAS3	SENSITRON	M973	20130101	M973	
5000199282	Solar E Detector gas combustible	SOLARE GAS4	SENSITRON	M974	20130101	M974	
5000199283	Solar E Detector termico	SOLARE TSH2	CEAG	1407148	20130101	1407148	
5000199284	Solar E Detector termico	SOLARE TSH4	CEAG	1407149	20130101	1407149	
5000199285	Solar E Detector termico	SOLARE TSH3	CEAG	1407144	20130101	1407144	
5000199286	Solar E Detector termico	SOLARE TSH1	CEAG	1407129	20130101	1407129	
5000199287	Solar E Contactos puerta cabina	SOLARE FC123	STAHL	8060_1_4	20130101	8060/1-4'	
5000199290	Solar E Central pesaje botellas CO2	SOLARE PB	LPG	FM501	20130101	FM501	
5000199292	Valvula solenoide paso de gas de sellos	L351	SOLAR	190015-5	20130101	ESM82023325	
5000199294	Presion diferencial filtros aceite	PDI902F	SOLAR	1012837-3	20130101	1012837-3	
5000199302	Temperatura aceite	RT380F	SOLAR	964192C1	20130101	964192C1	
5000199303	Temperatura aceite carter	RT390F	SOLAR	959839C1	20130101	959839C1	
5000199334	Temperatura fuel-gas	RT586F	SOLAR	964192C1	20130101	964192C1	
5000199336	Trasmisor de fuel-gas (Por Solar)	74S2_PTG_TP386 2	SOLAR	1029610-17	20130101	188411	0-41.4BAR
5000199371	Unidad de esterilización	BG33	KATADYN	BG33	20130101		
5000199385	Bomba Urgitxi	BOMBA GA54	KSB	MULTITEC-V-50-9B-3	20210101	4003310564-ES2	
5000199589	Bomba alimentación separador trifásico	GA102A	ERCOLE-MARELLI	TKVB-32-50	20130101	23011	
5000199590	Bomba alimentación separador trifásico	GA102B	ERCOLE-MARELLI	TKVB-32-50	20130101	23012	
5000199608	Agitador neutralización	GD53	MILTON-ROY	DOSAPRO	20130101	7935	
5000199631	Bombas de lodo	GA58A	BOMBAS-FELEZ	KIBER-N-80-MIXTA	20130101	1.729.214	
5000199639	Motor bomba circulación GA-57 A	GAM57A	KSB	1PC30381C	20130101	1.730.237	
5000199640	Motor bomba circulación GA-57 B	GAM57B	KSB	1PC30381C	20130101	1.730.238	
5000199645	Bombas de recirculación	GA57A	KSB	CBS3220W4_6	20130101		
5000199646	Bombas de recirculación	GA57B	KSB	CBS3220W4_6	20130101		
5000199652	Mecanismo flotación	PB52	ESMIL	TIPO-B-5M-DIAMETRO	20190214	MOTOR 1 CV 4P 50HZ	
5000199684	Motor bomba descarga agua sucia	GAM56	ALCONZA	DN132-SA-2	20130101	1.729.212	
5000199692	Bomba separador aceite	GA55A	MIBSA	RBS-8020	20130101		
5000199693	Bomba separador aceite	GA55B	MIBSA	RBS-8020	20130101		
5000199694	Bomba descarga agua sucia	GA56	KSB	CBS3220W4_6	20130101	139940	
5000199715	Bombas dosificadoras sulfato aluminia	GA60A	MILTON-ROY	A-112AFR-131-CON-SERVO	20130101	84.42.5086.0103	
5000199750	Bombas dosificadoras sosa	GA62A/B	MILTON-ROY	B-56AFR-161-CON-SERVO	20130101	84.42.5086.0104	
5000199763	Bomba drenajes metanol	GA105	ERCOLE-MARELLI	TKV-65-2	20130101	23042	
5000199792	Cuadro bateria condensadores N/1 (M.T.)	BC1	MESA	O-F-54495	20130101		
5000199793	Cuadro bateria condensadores N/2 (B.T.)	BC2	NOKIA	S-6	20130101		
5000199794	Cuadro bateria condensadores N/3 (B.T.)	BC3	CIRCUTOR	MAGIC-COMPUTER-6M	20130101		
5000199832	Transformador de potencia 30 / 6,3 Kv	T1	OASA	30-6,3KV	20130101		
5000199833	Transformador de potencia 6,3 / 0,38 Kv	T11	OASA	6,3-0,38KV	20130101		
5000199834	Transformador de potencia 30 / 6,3 Kv	T2	OASA	30-6,3KV	20130101		
5000199835	Transformador de potencia 6,3 / 0,38 Kv	T21	OASA	6,3-0,38KV	20130101		
5000199844	Motor del generadorl de emergencia	GF50	GUASCOR	E-318TL	20130101		
5000200739	Sistema diluvio-M2 lado norte	SFV2001	MATHER-PLATT	FE-2326	20130101		
5000200740	Sistema diluvio-M2 lado sur.	SFV2002	MATHER-PLATT	FE-2326	20130101		
5000200741	Sistema diluvio-M3 lado norte.	SFV3001	MATHER-PLATT	FE-2326	20130101		
5000200742	Sistema diluvio-M3 lado sur.	SFV3002	MATHER-PLATT	FE-2326	20130101		
5000200743	Sistema diluvio-M6.pipe rack	SFV630	VIKING	MODEL-E-2--COD-8864	20130101	G4920053/54/55	
5000201372	Bomba agua de mar P-123A	P123A	KSB	UPA-300-94--3A	20130101	117804	
5000201402	Bomba agua de mar P-123B	P123B	KSB	UPA-300-94--3A	20130101	114403	
5000201404	Bomba agua de mar P-123S	P123S	KSB	UPA-300-94--3A	20130101	108400	
5000201433	Valreguladoranivel pulmon agu dulce V122	LCV028	GULDE	1100-LCV028	20130101	7597	
5000201463	Bomba transferencia agua dulce A	P124A	KSB-ITUR	INP-32-250	20130101		
5000201464	Bomba transferencia agua dulce S	P124S	KSB-ITUR	INP-32-250	20130101		
5000201514	Bomba circulacion diesel A	P207A	ALTTUR	AH1-0,5X2X8PULG	20130101	50126	
5000201515	Bomba circulacion diesel B	P207B	ALTTUR	AH1-0,5X2X8PULG	20130101		
5000201518	Diesel coalescedor A	X252A	FACET	X252A	20130101	6593	
5000201581	Bote salvavidas 1	X129A	HARDING	24-MCH-WITH-6960	20130101	24 MCH WITH 6960	
5000201582	Bote salvavidas 2	X129B	HARDING	24-MCH-WITH-6960	20130101	24 MCH WITH 6961	
5000201583	Bote salvavidas 3	X129C	HARDING	24-MCH-WITH-6960	20130101	24 MCH WITH 6962	
5000201584	Bote salvavidas 4	X129D	HARDING	24-MCH-WITH-6960	20130101	24 MCH WITH 6963	
5000202250	Aerorefrigerante de gas.	EC111B1	GEA	6400-2310-4V-EHS4-254R57X28	20130101		
5000202251	Motor enfriador  EC-111.B	MFA111B1	GEA	6400-2310-4V-EHS4-254R57X28	20130101	3GV1210998095004	
5000202275	Aerorefrigerante de gas.	EC111B2	GEA	6400-2310-4V-EHS4-254R57X28	20130101		
5000202276	Est man local  motor ventilador MFA111C1	EMFA111C1	GEA	6400-2310-4V-EHS4-254R57X28	20130101	EX.87.B.1009	
5000202313	Motor bomba pre/post lubricacion	MP161A	SOLAR	186812-11	20130101	186812-11	
